id,name,type,lat,lon,address,distance_from_route,estimated_visit_time,rating,category,description
attr_001,東京タワー,tourist_spot,35.6586,139.7454,東京都港区芝公園4-2-8,1.5,120,4.2,landmark;observation_deck,東京のシンボルタワー
attr_002,横浜中華街,tourist_spot,35.4369,139.6503,神奈川県横浜市中区山下町,2.0,180,4.4,culture;food;shopping,日本最大の中華街
attr_003,名古屋城,tourist_spot,35.1854,136.8996,愛知県名古屋市中区本丸1-1,1.8,150,4.1,castle;history,名古屋のシンボル城郭
attr_004,大阪城,tourist_spot,34.6873,135.5262,大阪府大阪市中央区大阪城1-1,2.2,120,4.3,castle;history,大阪の歴史的城郭
attr_005,神戸ポートタワー,tourist_spot,34.6901,135.1956,兵庫県神戸市中央区波止場町2-2,1.0,90,4.0,landmark;observation_deck,神戸港のシンボルタワー
attr_006,清水寺,tourist_spot,35.0116,135.7681,京都府京都市東山区清水1-294,2.5,150,4.5,temple;history,京都の有名寺院
attr_007,福岡タワー,tourist_spot,33.5904,130.4017,福岡県福岡市早良区百道浜2-3-26,1.2,60,4.1,landmark;observation_deck,福岡のシンボルタワー
attr_008,札幌時計台,tourist_spot,43.0642,141.3469,北海道札幌市中央区北1条西2,0.8,30,3.8,landmark;history,札幌の歴史的建造物
attr_009,富士山五合目,tourist_spot,35.3606,138.7274,山梨県南都留郡鳴沢村字富士山,3.0,240,4.6,mountain;nature,富士山の中腹観光地
attr_010,広島平和記念公園,park,34.3853,132.4553,広島県広島市中区中島町1,2.8,180,4.7,peace;history,平和の象徴的公園
